Item;Código;Descrição;Len;Livres;Alimentos;Alimentos in natura;Alimentos semi-elaborados;Alimentos industrializados;Serviços;Serviços - Subjacente;Serviços - Ex-Subjacente;Duráveis;Semi-duráveis;Não duráveis;Monitorados;Não comercializáveis;Comercializáveis;Núcleo EX0;Núcleo EX1;Núcleo EX2;Núcleo EX3;Bens Industriais;Ex AD e Monitorados;Subjacentes Ex AF;Sensíveis ao Ciclo;Bens Industriais Ex Vestuario e Auto;Combustíveis;Monitorados Ex Combustíveis;Automóveis;Sticky-prices
1111021.Requeijão;1111021;Requeijão;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1111031.Manteiga;1111031;Manteiga;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1111038.Leite fermentado;1111038;Leite fermentado;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1112.Panificados;1112;Panificados;4;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1112003.Biscoito;1112003;Biscoito;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1112015.Pão francês;1112015;Pão francês;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0
1112017.Pão doce;1112017;Pão doce;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0
1112018.Pão de forma;1112018;Pão de forma;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1112019.Bolo;1112019;Bolo;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0
1112025.Pão de queijo;1112025;Pão de queijo;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1113.Óleos e gorduras;1113;Óleos e gorduras;4;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1113013.Óleo de soja;1113013;Óleo de soja;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1113014.Azeite de oliva;1113014;Azeite de oliva;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1113040.Margarina;1113040;Margarina;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1114.Bebidas e infusões;1114;Bebidas e infusões;4;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114001.Suco de frutas;1114001;Suco de frutas;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114003.Polpa de fruta (congelada);1114003;Polpa de fruta (congelada);7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114004.Açaí (emulsão);1114004;Açaí (emulsão);7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114022.Café moído;1114022;Café moído;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114023.Café solúvel;1114023;Café solúvel;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114083.Refrigerante e água mineral;1114083;Refrigerante e água mineral;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114084.Cerveja;1114084;Cerveja;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1114085.Outras bebidas alcoólicas;1114085;Outras bebidas alcoólicas;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
