data;codigo;var_mensal;var_mensal_15
01/08/2016;4;;
01/09/2016;4;1.06;-0.02
01/10/2016;4;0.92;0.15
01/11/2016;4;;
01/12/2016;4;-0.58;-0.23
01/01/2017;4;-0.49;-0.05
01/02/2017;4;1.3;-0.45
01/03/2017;4;0.79;-0.18
01/04/2017;4;1.07;1.34
01/05/2017;4;1;1.07
01/06/2017;4;-0.59;-1
01/07/2017;4;0.52;0.24
01/08/2017;4;-0.53;-0.62
01/09/2017;4;0.72;0.91
01/10/2017;4;0.11;0.36
01/11/2017;4;0.24;0.28
01/12/2017;4;-0.27;-0.31
01/01/2018;4;1.69;0.76
01/02/2018;4;-0.17;-0.44
01/03/2018;4;0.56;-0.9
01/04/2018;4;10.21;10.3
01/05/2018;4;0.22;0.23
01/06/2018;4;-0.04;0.16
01/07/2018;4;;
01/08/2018;4;0.05;0.95
01/09/2018;4;-0.74;3.42
01/10/2018;4;6.64;3.14
01/11/2018;4;0.26;0.07
01/12/2018;4;0.27;0.22
01/01/2019;4;0.51;0.18
01/02/2019;4;-0.06;0.67
01/03/2019;4;0.09;0.1
01/04/2019;4;-1.03;-0.37
01/05/2019;4;-0.17;0.46
01/06/2019;4;0.51;0.55
01/07/2019;4;0.41;0.58
01/08/2019;4;0.3;0.31
01/09/2019;4;-0.07;0.11
01/10/2019;4;0.67;0.66
01/11/2019;4;0.1;0.38
01/12/2019;4;0.12;-0.07
01/01/2020;4;-0.68;-0.59
01/02/2020;4;4.65;3.47
01/03/2020;4;0.24;0.39
01/04/2020;4;1.03;1.03
01/05/2020;4;0.51;0.25
01/06/2020;4;0.29;0.27
01/07/2020;4;0.42;0.42
01/08/2020;4;1.22;0.93
01/09/2020;4;0.34;-0.05
01/10/2020;4;-6.01;-6.64
01/11/2020;4;;
01/12/2020;4;0.18;0.73
01/01/2021;4;;
01/02/2021;4;;
01/03/2021;4;0.22;0.46
01/04/2021;4;0.36;0.29
01/05/2021;4;-0.05;0.63
01/06/2021;4;;
01/07/2021;4;;
01/08/2021;4;-0.04;-0.07
01/09/2021;4;;
01/10/2021;4;;
01/11/2021;4;;
01/12/2021;4;;2.25
01/01/2022;4;;
01/02/2010;5;0.52;0.59
01/03/2010;5;-1.45;1.44
01/04/2010;5;-5.95;-0.07
01/05/2010;5;1.6;-2.77
01/06/2010;5;0.6;1.54
01/07/2010;5;;
01/08/2010;5;8.01;4.29
01/09/2010;5;-1.58;-4.54
01/10/2010;5;-16.17;-24.83
01/11/2010;5;2.22;0.86
01/12/2010;5;1.4;1.67
01/01/2011;5;-0.64;-1.07
01/02/2011;5;2.92;-4.27
01/03/2011;5;7.49;6.2
01/04/2011;5;9.28;7.17
01/05/2011;5;;
01/06/2011;5;-3.51;-4.26
01/07/2011;5;7.33;4.01
01/08/2011;5;-3.66;-11.58
01/09/2011;5;3.65;3.58
01/10/2011;5;6.23;3.63
01/11/2011;5;-2.72;-1.46
01/12/2011;5;4.8;2.95
01/01/2012;5;;-5.31
01/02/2012;5;1.93;1.68
01/03/2012;5;-0.82;0.22
01/04/2012;5;-5.61;
01/05/2012;5;;
01/06/2012;5;1.57;6.01
01/07/2012;5;-12.74;
01/08/2012;5;-0.1;1.38
01/09/2012;5;3.95;1.29
01/10/2012;5;;
01/11/2012;5;2.84;3.02
01/12/2012;5;;
01/01/2013;5;1.26;0.38
01/02/2013;5;1.15;0.62
01/03/2013;5;;
01/04/2013;5;0.35;1.1
01/05/2013;5;0.89;0.71
01/06/2013;5;0.56;0.66
01/07/2013;5;-0.51;-0.87
01/08/2013;5;-1.31;0.2
01/09/2013;5;2.19;2.72
01/10/2013;5;-1.48;-0.85
01/11/2013;5;1.36;0.44
01/12/2013;5;-0.41;0.87
01/01/2014;5;1.34;1.42
01/02/2014;5;0.03;1.08
01/03/2014;5;1.58;1.53
01/04/2014;5;2.39;0.67
01/05/2014;5;0.52;0.22
01/06/2014;5;1;0.8
01/07/2014;5;0.32;-0.07
01/08/2014;5;1.08;-1.78
01/09/2014;5;0.42;0.37
01/10/2014;5;1.05;1.4
01/11/2014;5;0.5;0.36
01/12/2014;5;0.19;0.28
01/01/2015;5;-0.35;2.63
01/02/2015;5;0.97;2.27
01/03/2015;5;-0.03;0.14
01/04/2015;5;0.61;0.8
01/05/2015;5;0.9;0.5
01/06/2015;5;0.01;0.52
01/07/2015;5;0.65;0.34
01/08/2015;5;-0.4;1.89
01/09/2015;5;-0.48;0.34
01/10/2015;5;0.09;-0.28
01/11/2015;5;0.51;-0.34
01/12/2015;5;2.06;0.45
